osmnodesmilan.id,osmnodesmilan.userid,osmnodesmilan.timestamp,osmnodesmilan.isvisible,osmnodesmilan.version,osmnodesmilan.changesetid,osmnodesmilan.tags,osmnodesmilan.latitude,osmnodesmilan.longitude
N14460906,0,2009-04-06T16:48:45Z,false,9,0,{},45.4745489,9.0790379
N14460907,0,2017-05-20T20:29:40Z,false,10,0,{},45.4745226,9.0792321
N14460908,0,2009-04-06T16:48:45Z,false,9,0,{},45.4738107,9.079406
N14460910,0,2017-05-20T20:29:40Z,false,10,0,{},45.4736868,9.0796207
N14460911,0,2017-05-20T20:29:41Z,false,4,0,{},45.4728672,9.0796331
N14460912,0,2017-05-20T20:29:41Z,false,11,0,{},45.4728847,9.0798041
N14461086,0,2006-08-30T13:20:00Z,false,1,0,{"created_by":"JOSM"},45.521146,9.0591736
N14461087,0,2006-08-30T13:20:00Z,false,1,0,{"created_by":"JOSM"},45.5204706,9.0589741
N14461088,0,2010-06-20T00:30:39Z,false,2,0,{},45.5197011,9.0588666
N14461090,0,2010-06-20T00:30:26Z,false,2,0,{},45.5184233,9.0589904
N14461091,0,2016-12-18T22:35:23Z,false,4,0,{},45.5171251,9.0592985
N14461092,0,2010-06-20T00:29:19Z,false,2,0,{},45.5165644,9.0599105
N14461094,0,2015-05-04T01:16:35Z,false,3,0,{},45.5156095,9.0608555
N14461095,0,2010-06-20T00:32:21Z,false,2,0,{},45.5141858,9.0627823
N14461096,0,2015-05-04T01:16:35Z,false,3,0,{},45.5136937,9.0632354
N14461098,0,2015-05-04T01:16:35Z,false,2,0,{},45.5128266,9.0637546
N14461100,0,2015-05-04T01:16:35Z,false,4,0,{},45.5120835,9.0640146
N14461101,0,2015-05-04T01:16:35Z,false,2,0,{},45.5113773,9.0640721
N14461102,0,2015-05-04T01:16:35Z,false,9,0,{},45.5104589,9.0639126
N14461103,0,2015-05-04T01:16:35Z,false,10,0,{},45.5092371,9.0636214
N14461104,0,2015-05-04T01:16:35Z,false,10,0,{},45.5077609,9.0636787
N14461108,0,2015-05-04T01:16:35Z,false,11,0,{},45.5065908,9.0638949
N14461109,0,2009-04-06T16:48:44Z,false,8,0,{},45.5043677,9.0651757
N14461110,0,2011-10-21T19:48:15Z,false,10,0,{"ref":"2","name":"Milano Gallaratese","highway":"motorway_junction"},45.5009711,9.0664656
N14461113,0,2014-07-17T11:34:13Z,false,15,0,{"ref":"3","name":"Settimo Milanese;Milano San Siro","highway":"motorway_junction"},45.4915125,9.0663853
N14461114,0,2009-11-11T23:05:26Z,false,11,0,{},45.4897554,9.066519
N14461116,0,2014-04-14T21:02:52Z,false,12,0,{},45.4889284,9.0667384
N14461355,0,2009-04-06T16:48:01Z,false,8,0,{},45.5062217,9.0647439
N14461360,0,2015-05-04T01:16:35Z,false,10,0,{},45.5078579,9.0639388
N14461362,0,2015-05-04T01:16:35Z,false,9,0,{},45.508682,9.0632405
N14461365,0,2015-05-04T01:16:35Z,false,10,0,{},45.5093622,9.0624341
N14461366,0,2015-05-04T01:16:35Z,false,10,0,{},45.5103347,9.061102
